2025-12-26 13:23:21,482 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Page.java:307  | 22 raw measures: [6 in system#1, 4 in system#2, 4 in system#3, 4 in system#4, 4 in system#5]
2025-12-26 13:23:21,482 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 13:23:21,501 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 13:23:22,058 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]         SlursBuilder.java:240  | Slurs: 32
2025-12-26 13:23:22,075 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]      SegmentsBuilder.java:155  | Segments: 12
2025-12-26 13:23:22,082 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 13:23:22,567 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 13:23:22,623 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 13:23:22,687 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 13:23:22,697 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:2596 | Book{133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0} storing
2025-12-26 13:23:22,739 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 13:23:22,847 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 13:23:23,463 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 13:23:23,464 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0.omr
2025-12-26 13:23:23,471 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 13:23:23,509 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 13:23:23,511 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:2071 | Book processed.
2025-12-26 13:23:23,868 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 13:23:24,255 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
2025-12-26 13:23:24,369 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]        ScoreExporter.java:164  | Score 133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0 exported to C:\Users\Elliot\Downloads\Audiveris\scores\133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0.mxl
2025-12-26 13:23:24,412 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                Score.java:181  | Closing {Score 1}
